Symptom,Synonym
severe flank pain,excruciating side pain
severe flank pain,acute loin pain
severe flank pain,extreme side discomfort
severe flank pain,sharp flank pain
severe flank pain,severe kidney pain
severe flank pain,disabling flank pain
severe flank pain,marked loin pain
severe headache,intense headache
severe headache,excruciating headache
severe headache,debilitating headache
severe headache,splitting headache
severe headache,throbbing severe headache
severe headache,extreme head pain
severe headache,crushing headache
severe headache,unbearable headache
severe pain,intense pain
severe pain,excruciating pain
severe pain,extreme discomfort
severe pain,unbearable pain
severe pain,agonizing pain
severe pain,intense discomfort
severe pain,debilitating pain
severe pain,marked pain
severe sore throat,intense throat pain
severe sore throat,acute pharyngitis pain
severe sore throat,extreme throat discomfort
severe sore throat,painful throat inflammation
severe sore throat,excruciating throat pain
severe sore throat,intense pharyngeal pain
severe sore throat,bad throat pain
severe sore throat,severe throat irritation
shakiness,tremulousness
shakiness,internal trembling
shakiness,jitteriness
shakiness,body trembling
shakiness,unsteady shaking
shakiness,nervous shaking
shakiness,fine tremor
shakiness,quivering sensation
shaky hands,hand tremors
shaky hands,trembling hands
shaky hands,hand shaking
shaky hands,hand quivering
shaky hands,involuntary hand tremor
shaky hands,unstable hands
shaky hands,fine hand tremor
shaky hands,hand jittering
sharp pain,stabbing pain
sharp pain,piercing pain
sharp pain,shooting pain
sharp pain,acute pain
sharp pain,lancinating pain
sharp pain,sudden intense pain
sharp pain,knife like pain
sharp pain,pricking pain
shoulder pain,shoulder ache
shoulder pain,deltoid pain
shoulder pain,rotator cuff pain
shoulder pain,painful shoulder
shoulder pain,shoulder soreness
shoulder pain,glenohumeral pain
shoulder pain,upper arm pain
shoulder pain,shoulder joint pain
shoulder tightness,tight shoulder
shoulder tightness,shoulder stiffness
shoulder tightness,muscle tension shoulder
shoulder tightness,restricted shoulder movement
shoulder tightness,shoulder rigidity
shoulder tightness,shoulder constriction
shoulder tightness,tense shoulder muscles
shoulder tightness,limited shoulder mobility
silvery scales,silver plaques
silvery scales,micaceous scales
silvery scales,shiny skin scales
silvery scales,psoriatic plaques
silvery scales,metallic scales
silvery scales,reflective scales
silvery scales,thick white scales
silvery scales,scaly plaques
skin blanching,pallor on pressure
skin blanching,blanching erythema
skin blanching,pressure induced pallor
skin blanching,transient skin whitening
skin blanching,capillary refill blanching
skin blanching,temporary pallor
skin blanching,vasoconstrictive blanching
skin blanching,whitening on touch
skin blister,cutaneous blister
skin blister,vesicle
skin blister,fluid filled blister
skin blister,bullous lesion
skin blister,epidermal blister
skin blister,serous blister
skin blister,tense blister
skin blister,skin vesicle
skin breakdown,skin ulceration
skin breakdown,tissue erosion
skin breakdown,cutaneous ulcer
skin breakdown,pressure sore
skin breakdown,skin lesion
skin breakdown,tissue damage
skin breakdown,surface ulcer
skin breakdown,open skin area
skin cracking,fissured skin
skin cracking,skin fissures
skin cracking,cracked dermis
skin cracking,split skin
skin cracking,skin splits
skin cracking,dry fissures
skin cracking,skin clefts
skin cracking,epidermal cracking
skin discoloration,skin pigmentation change
skin discoloration,altered skin color
skin discoloration,hyperpigmentation
skin discoloration,hypopigmentation
skin discoloration,uneven skin tone
skin discoloration,skin color variation
skin discoloration,patchy pigmentation
skin discoloration,chromatic skin change
skin irritation,cutaneous irritation
skin irritation,irritated skin
skin irritation,dermal irritation
skin irritation,inflamed skin
skin irritation,skin discomfort
skin irritation,pruritic skin
skin irritation,reactive skin
skin irritation,sensitive skin
skin maceration,softened skin
skin maceration,waterlogged skin
skin maceration,overhydrated skin
skin maceration,soggy skin
skin maceration,moist skin damage
skin maceration,epidermal softening
skin maceration,skin overhydration
skin maceration,macerated tissue
skin numbness,cutaneous numbness
skin numbness,dermal hypoesthesia
skin numbness,reduced skin sensation
skin numbness,surface numbness
skin numbness,localized numbness
skin numbness,tactile loss
skin numbness,decreased skin sensitivity
skin numbness,sensory dullness
skin peeling,desquamation
skin peeling,peeling dermis
skin peeling,flaking skin
skin peeling,exfoliating skin
skin peeling,shedding skin
skin peeling,superficial peeling
skin peeling,epidermal shedding
skin peeling,skin flaking
skin rash,cutaneous rash
skin rash,dermatologic eruption
skin rash,erythematous rash
skin rash,inflammatory rash
skin rash,itchy eruption
skin rash,maculopapular rash
skin rash,diffuse rash
skin rash,localized eruption
skin redness,erythema
skin redness,reddened skin
skin redness,inflamed dermis
skin redness,flushed skin
skin redness,hyperemic skin
skin redness,skin inflammation
skin redness,red patches
skin redness,superficial redness
skin sensitivity,sensitive skin
skin sensitivity,cutaneous hypersensitivity
skin sensitivity,tender skin
skin sensitivity,reactive skin
skin sensitivity,increased skin sensitivity
skin sensitivity,skin tenderness
skin sensitivity,touch sensitive skin
skin sensitivity,dermal sensitivity
skin swelling,cutaneous swelling
skin swelling,dermal edema
skin swelling,puffy skin
skin swelling,localized skin swelling
skin swelling,inflamed skin swelling
skin swelling,tissue edema
skin swelling,raised skin area
skin swelling,swollen skin
skin tenderness,tender skin
skin tenderness,painful skin
skin tenderness,sensitive skin area
skin tenderness,touch tender skin
skin tenderness,localized tenderness
skin tenderness,dermal soreness
skin tenderness,skin pain on touch
skin tenderness,inflamed tender skin
sleep changes,altered sleep
sleep changes,sleep pattern changes
sleep changes,sleep variation
sleep changes,disrupted sleep cycle
sleep changes,sleep irregularity
sleep changes,modified sleep habits
sleep changes,sleep rhythm shift
sleep changes,changed sleep routine
sleep disturbance,insomnia
sleep disturbance,fragmented sleep
sleep disturbance,restless sleep
sleep disturbance,poor sleep quality
sleep disturbance,interrupted sleep
sleep disturbance,abnormal sleep
sleep disturbance,disturbed sleep cycle
sleep disturbance,sleeplessness
slow movement,bradykinesia
slow movement,sluggish movement
slow movement,motor slowing
slow movement,reduced motor speed
slow movement,decreased mobility
slow movement,slowed actions
slow movement,hypokinesia
slow movement,delayed movement
slow rewarming,delayed rewarming
slow rewarming,prolonged cold recovery
slow rewarming,impaired rewarming
slow rewarming,slow temperature recovery
slow rewarming,delayed heat return
slow rewarming,poor thermal recovery
slow rewarming,extended rewarming time
slow rewarming,sluggish warming response
slow wound healing,delayed healing
slow wound healing,impaired wound healing
slow wound healing,prolonged healing
slow wound healing,poor wound repair
slow wound healing,delayed tissue repair
slow wound healing,chronic wound
slow wound healing,nonhealing wound
slow wound healing,slow tissue recovery
small bumps,papules
small bumps,tiny lesions
small bumps,raised spots
small bumps,minor skin elevations
small bumps,pinpoint bumps
small bumps,small nodules
small bumps,minute papules
small bumps,skin papules
smooth lump,smooth mass
smooth lump,rounded nodule
smooth lump,well defined lump
smooth lump,soft tissue mass
smooth lump,encapsulated mass
smooth lump,uniform swelling
smooth lump,regular surfaced lump
smooth lump,palpable smooth mass
snoring,noisy snoring
snoring,sleep snoring
snoring,heavy breathing sleep
snoring,habitual snoring
snoring,obstructive snoring
snoring,loud breathing
snoring,sleep related breathing noise
snoring,chronic snoring
social withdrawal,social isolation
social withdrawal,avoiding social interaction
social withdrawal,interpersonal avoidance
social withdrawal,reduced social engagement
social withdrawal,social detachment
social withdrawal,isolative behavior
social withdrawal,limited social contact
social withdrawal,social disengagement
soft voice,low volume voice
soft voice,reduced vocal volume
soft voice,quiet speech
soft voice,weak voice
soft voice,hypophonia
soft voice,faint voice
soft voice,diminished speech volume
soft voice,low pitched voice
sole tenderness,plantar tenderness
sole tenderness,foot sole pain
sole tenderness,tender sole
sole tenderness,painful sole
sole tenderness,bottom foot tenderness
sole tenderness,sole soreness
sole tenderness,plantar pain
sole tenderness,sensitive sole
sore chest,chest soreness
sore chest,chest tenderness
sore chest,thoracic soreness
sore chest,painful chest wall
sore chest,musculoskeletal chest pain
sore chest,chest wall tenderness
sore chest,anterior chest soreness
sore chest,rib cage soreness
sore glans,glans pain
sore glans,penile tip pain
sore glans,glans irritation
sore glans,painful glans penis
sore glans,inflamed glans
sore glans,penile head soreness
sore glans,glans tenderness
sore glans,irritated penile tip
sore throat,throat pain
sore throat,pharyngitis
sore throat,throat irritation
sore throat,painful throat
sore throat,throat soreness
sore throat,inflamed throat
sore throat,scratchy throat
sore throat,pharyngeal discomfort
sound sensitivity,hyperacusis
sound sensitivity,auditory sensitivity
sound sensitivity,noise intolerance
sound sensitivity,increased sound sensitivity
sound sensitivity,sound hypersensitivity
sound sensitivity,loud sound discomfort
sound sensitivity,sensitivity to noise
sound sensitivity,exaggerated auditory response
spinning sensation,vertigo
spinning sensation,rotary dizziness
spinning sensation,room spinning
spinning sensation,rotational vertigo
spinning sensation,whirling sensation
spinning sensation,sense of spinning
spinning sensation,vestibular dizziness
spinning sensation,rotational dizziness
spotting,light spotting
spotting,minor vaginal bleeding
spotting,breakthrough spotting
spotting,intermenstrual spotting
spotting,slight blood spotting
spotting,minimal vaginal bleeding
spotting,light bleeding episodes
spotting,blood streaking
staring spells,absence episodes
staring spells,blank staring
staring spells,brief unresponsiveness
staring spells,vacant stare
staring spells,transient staring
staring spells,inattentive episodes
staring spells,nonresponsive staring
staring spells,brief blank spells
sticky eyelids,matted eyelids
sticky eyelids,eyelid crusting
sticky eyelids,glued eyelids
sticky eyelids,eyelid discharge crust
sticky eyelids,adherent eyelids
sticky eyelids,sticky eye discharge
sticky eyelids,eyelids stuck together
sticky eyelids,crusted lids
stiffness,rigidity
stiffness,muscle stiffness
stiffness,reduced flexibility
stiffness,tightness
stiffness,inflexibility
stiffness,limited mobility
stiffness,restricted movement
stiffness,joint rigidity
stool urgency,urgent bowel movement
stool urgency,fecal urgency
stool urgency,sudden bowel urge
stool urgency,immediate defecation urge
stool urgency,urgent need defecate
stool urgency,bowel urgency
stool urgency,sudden stool urge
stool urgency,urgent rectal pressure
stooped posture,hunched posture
stooped posture,bent posture
stooped posture,forward flexed posture
stooped posture,kyphotic posture
stooped posture,rounded back posture
stooped posture,slouched stance
stooped posture,flexed trunk posture
stooped posture,curved spine posture
straining during defecation,excessive straining
straining during defecation,difficult bowel effort
straining during defecation,forceful stool passage
straining during defecation,hard pushing stool
straining during defecation,defecation effort
straining during defecation,painful straining
straining during defecation,bowel straining
straining during defecation,stool passage difficulty
strawberry tongue,red tongue papillae
strawberry tongue,erythematous tongue
strawberry tongue,prominent papillae tongue
strawberry tongue,inflamed tongue surface
strawberry tongue,bright red tongue
strawberry tongue,bumpy red tongue
strawberry tongue,glossitis appearance
strawberry tongue,papillary hypertrophy
sudden fever,acute fever
sudden fever,abrupt temperature rise
sudden fever,rapid onset fever
sudden fever,sudden pyrexia
sudden fever,quick fever onset
sudden fever,high sudden temperature
sudden fever,abrupt febrile episode
sudden fever,sudden high temperature
sugar in urine,glycosuria
sugar in urine,urinary glucose
sugar in urine,glucose in urine
sugar in urine,elevated urine glucose
sugar in urine,sweet urine
sugar in urine,glucose positive urine
sugar in urine,urinary sugar excretion
sugar in urine,excess urine glucose
sunken eyes,hollow eyes
sunken eyes,deep set eyes
sunken eyes,recessed eyes
sunken eyes,eye socket hollowing
sunken eyes,orbital hollowing
sunken eyes,depressed eyes
sunken eyes,shadowed eyes
sunken eyes,periorbital hollowing
sweating,perspiration
sweating,diaphoresis
sweating,excessive perspiration
sweating,profuse sweating
sweating,heavy sweating
sweating,sweat production
sweating,clammy sweating
sweating,body sweating
sweaty feet,foot sweating
sweaty feet,plantar sweating
sweaty feet,excessive foot perspiration
sweaty feet,moist feet
sweaty feet,foot hyperhidrosis
sweaty feet,damp feet
sweaty feet,foot moisture
sweaty feet,sweaty soles
sweaty palms,palmar sweating
sweaty palms,hand sweating
sweaty palms,clammy hands
sweaty palms,palmar hyperhidrosis
sweaty palms,moist palms
sweaty palms,hand perspiration
sweaty palms,damp palms
sweaty palms,sweaty hands
swelling,edema
swelling,puffiness
swelling,enlargement
swelling,inflammation
swelling,localized swelling
swelling,tissue expansion
swelling,fluid retention
swelling,tumefaction
swollen ankles,ankle edema
swollen ankles,ankle swelling
swollen ankles,puffy ankles
swollen ankles,ankle puffiness
swollen ankles,fluid retention ankles
swollen ankles,enlarged ankles
swollen ankles,ankle inflammation
swollen ankles,bilateral ankle swelling
swollen glands,lymphadenopathy
swollen glands,enlarged lymph nodes
swollen glands,gland enlargement
swollen glands,tender lymph nodes
swollen glands,neck gland swelling
swollen glands,inflamed glands
swollen glands,lymph node swelling
swollen glands,reactive lymph nodes
swollen legs,leg edema
swollen legs,puffy legs
swollen legs,lower limb edema
swollen legs,leg enlargement
swollen legs,fluid retention legs
swollen legs,inflamed legs
swollen legs,bilateral leg swelling
swollen legs,peripheral edema legs
swollen tonsils,tonsillar enlargement
swollen tonsils,enlarged tonsils
swollen tonsils,inflamed tonsils
swollen tonsils,tonsillar swelling
swollen tonsils,hypertrophic tonsils
swollen tonsils,tonsil enlargement
swollen tonsils,red swollen tonsils
swollen tonsils,painful tonsils
tender breasts,breast tenderness
tender breasts,sore breasts
tender breasts,mastalgia
tender breasts,sensitive breasts
tender breasts,painful breasts
tender breasts,mammary tenderness
tender breasts,breast soreness
tender breasts,cyclic breast pain
tender scalp,scalp tenderness
tender scalp,sore scalp
tender scalp,sensitive scalp
tender scalp,painful scalp
tender scalp,scalp soreness
tender scalp,scalp pain on touch
tender scalp,localized scalp tenderness
tender scalp,scalp sensitivity
tender scrotum,scrotal tenderness
tender scrotum,sore scrotum
tender scrotum,painful scrotum
tender scrotum,scrotal pain
tender scrotum,sensitive scrotum
tender scrotum,scrotal discomfort
tender scrotum,inflamed scrotum
tender scrotum,scrotal soreness
tenderness,soreness
tenderness,sensitivity
tenderness,pain on palpation
tenderness,localized pain
tenderness,touch sensitivity
tenderness,pressure pain
tenderness,mild pain
tenderness,tissue sensitivity
testicular pain,testicular ache
testicular pain,scrotal pain
testicular pain,orchialgia
testicular pain,painful testicle
testicular pain,testis pain
testicular pain,groin testicular pain
testicular pain,aching testicle
testicular pain,acute testicular pain
testicular swelling,scrotal swelling
testicular swelling,swollen testicle
testicular swelling,testis enlargement
testicular swelling,enlarged testicle
testicular swelling,scrotal edema
testicular swelling,inflamed testicle
testicular swelling,testicular enlargement
testicular swelling,painful testicular swelling
thick plaques,hyperkeratotic plaques
thick plaques,raised skin plaques
thick plaques,indurated plaques
thick plaques,scaly plaques
thick plaques,thickened skin patches
thick plaques,elevated plaques
thick plaques,dermal plaques
thick plaques,fibrotic plaques
thick white discharge,curdy white discharge
thick white discharge,cottage cheese discharge
thick white discharge,white vaginal discharge
thick white discharge,dense white secretion
thick white discharge,creamy white discharge
thick white discharge,clumpy discharge
thick white discharge,white mucoid discharge
thick white discharge,opaque white discharge
thickened nails,nail hypertrophy
thickened nails,onychauxis
thickened nails,enlarged nails
thickened nails,nail thickening
thickened nails,bulky nails
thickened nails,dense nail plate
thickened nails,nail plate hypertrophy
thickened nails,hardened nails
thickened skin,lichenified skin
thickened skin,skin hypertrophy
thickened skin,indurated skin
thickened skin,dermal thickening
thickened skin,leathery skin
thickened skin,hyperplastic skin
thickened skin,coarse skin
thickened skin,skin fibrosis
throat infection,pharyngitis
throat infection,tonsillitis
throat infection,upper throat infection
throat infection,bacterial pharyngitis
throat infection,viral throat infection
throat infection,streptococcal throat infection
throat infection,inflamed throat infection
throat infection,acute throat infection
throat irritation,throat discomfort
throat irritation,irritated throat
throat irritation,scratchy throat
throat irritation,pharyngeal irritation
throat irritation,throat soreness
throat irritation,burning throat
throat irritation,throat inflammation
throat irritation,mild throat pain
throat itch,itchy throat
throat itch,throat pruritus
throat itch,tickly throat
throat itch,throat tingling
throat itch,pharyngeal itch
throat itch,itchy sensation throat
throat itch,throat scratchiness
throat itch,irritating throat sensation
throat swelling,pharyngeal swelling
throat swelling,swollen throat
throat swelling,airway swelling
throat swelling,laryngeal swelling
throat swelling,tonsillar swelling
throat swelling,throat edema
throat swelling,inflamed throat tissues
throat swelling,narrowed throat
thumb pain,thumb ache
thumb pain,painful thumb
thumb pain,thumb soreness
thumb pain,thumb joint pain
thumb pain,basal thumb pain
thumb pain,thumb tenderness
thumb pain,thumb discomfort
thumb pain,first digit pain
tingling,paresthesia
tingling,pins and needles
tingling,prickling sensation
tingling,electric sensation
tingling,crawling sensation
tingling,numb tingling
tingling,sensory tingling
tingling,mild burning sensation
tingling arms,arm paresthesia
tingling arms,arm pins needles
tingling arms,upper limb tingling
tingling arms,arm prickling
tingling arms,arm sensory disturbance
tingling arms,arm numbness
tingling arms,bilateral arm tingling
tingling arms,arm nerve tingling
tingling feet,foot paresthesia
tingling feet,foot pins needles
tingling feet,plantar tingling
tingling feet,foot prickling
tingling feet,lower limb tingling
tingling feet,foot sensory disturbance
tingling feet,numb feet
tingling feet,foot nerve tingling
tingling fingers,finger paresthesia
tingling fingers,finger pins needles
tingling fingers,digital tingling
tingling fingers,fingertip tingling
tingling fingers,finger prickling
tingling fingers,finger sensory disturbance
tingling fingers,numb fingers
tingling fingers,finger nerve tingling
toe pain,toe ache
toe pain,painful toe
toe pain,toe soreness
toe pain,digit pain
toe pain,big toe pain
toe pain,toe tenderness
toe pain,toe joint pain
toe pain,inflamed toe
tongue biting,tongue trauma
tongue biting,bitten tongue
tongue biting,oral tongue injury
tongue biting,tongue laceration
tongue biting,tongue wound
tongue biting,tongue self injury
tongue biting,tongue cut
tongue biting,tongue abrasion
tooth pain,toothache
tooth pain,dental pain
tooth pain,aching tooth
tooth pain,molar pain
tooth pain,throbbing tooth pain
tooth pain,gum tooth pain
tooth pain,severe dental pain
tooth pain,localized dental pain
tooth sensitivity,dentin sensitivity
tooth sensitivity,sensitive teeth
tooth sensitivity,dental hypersensitivity
tooth sensitivity,cold sensitivity teeth
tooth sensitivity,heat sensitivity teeth
tooth sensitivity,tooth nerve sensitivity
tooth sensitivity,enamel sensitivity
tooth sensitivity,painful tooth sensitivity
tremor,shaking
tremor,involuntary shaking
tremor,rhythmic shaking
tremor,fine tremor
tremor,coarse tremor
tremor,muscular tremor
tremor,limb shaking
tremor,quivering
trouble urinating,urinary difficulty
trouble urinating,difficulty voiding
trouble urinating,dysuria difficulty
trouble urinating,urinary hesitancy
trouble urinating,weak urine stream
trouble urinating,incomplete bladder emptying
trouble urinating,obstructed urination
trouble urinating,impaired urination
tunnel vision,peripheral vision loss
tunnel vision,narrowed visual field
tunnel vision,restricted vision
tunnel vision,visual field constriction
tunnel vision,central vision only
tunnel vision,reduced side vision
tunnel vision,field of vision narrowing
tunnel vision,concentric vision loss
unclear hearing,muffled hearing
unclear hearing,distorted hearing
unclear hearing,auditory blurring
unclear hearing,hazy hearing
unclear hearing,reduced clarity hearing
unclear hearing,impaired sound clarity
unclear hearing,unclear sound perception
unclear hearing,dull hearing
underarm swelling,axillary swelling
underarm swelling,armpit lump
underarm swelling,axillary mass
underarm swelling,swollen underarm
underarm swelling,axillary enlargement
underarm swelling,inflamed underarm
underarm swelling,armpit swelling
underarm swelling,axillary node swelling
uneven smile,facial asymmetry
uneven smile,asymmetric grin
uneven smile,lopsided smile
uneven smile,facial droop
uneven smile,crooked smile
uneven smile,unequal mouth movement
uneven smile,one sided smile
uneven smile,mouth asymmetry
urge move legs,restless legs
urge move legs,leg restlessness
urge move legs,irresistible leg urge
urge move legs,leg movement urge
urge move legs,nighttime leg urge
urge move legs,urge to shift legs
urge move legs,leg discomfort urge
urge move legs,compulsive leg movement
urine dribbling,post void dribbling
urine dribbling,urinary leakage
urine dribbling,involuntary urine leakage
urine dribbling,terminal dribbling
urine dribbling,urine seepage
urine dribbling,weak bladder control
urine dribbling,residual urine leakage
urine dribbling,dribbling urination
urine urgency,urgent urination
urine urgency,urinary urgency
urine urgency,sudden urge urinate
urine urgency,immediate voiding urge
urine urgency,frequent urge urinate
urine urgency,strong urge urination
urine urgency,compelling need urinate
urine urgency,urgent bladder sensation
vaginal discharge,vaginal secretion
vaginal discharge,abnormal vaginal fluid
vaginal discharge,leukorrhea
vaginal discharge,genital discharge
vaginal discharge,vaginal exudate
vaginal discharge,vaginal fluid
vaginal discharge,mucous vaginal secretion
vaginal discharge,abnormal vaginal secretion
vaginal itching,vulvar itching
vaginal itching,genital pruritus
vaginal itching,vulvovaginal itching
vaginal itching,intimate itching
vaginal itching,vaginal irritation
vaginal itching,vulvar irritation
vaginal itching,itching vulva
vaginal itching,vaginal discomfort itching
visible blood vessels,telangiectasia
visible blood vessels,spider veins
visible blood vessels,prominent vessels
visible blood vessels,dilated capillaries
visible blood vessels,superficial vessels
visible blood vessels,vascular markings
visible blood vessels,broken capillaries
visible blood vessels,vascular visibility
visible cavity,dental cavity
visible cavity,tooth cavity
visible cavity,carious lesion
visible cavity,tooth decay
visible cavity,enamel erosion cavity
visible cavity,open tooth lesion
visible cavity,cavitated tooth
visible cavity,dental caries
voice change,altered voice
voice change,hoarseness
voice change,vocal alteration
voice change,change in voice
voice change,vocal cord change
voice change,voice modulation change
voice change,abnormal voice
voice change,dysphonia
voice loss,aphonia
voice loss,loss of voice
voice loss,inability speak
voice loss,vocal silence
voice loss,absent voice
voice loss,lost voice
voice loss,temporary aphonia
voice loss,vocal cord paralysis
vomiting,emesis
vomiting,throwing up
vomiting,gastric expulsion
vomiting,retching
vomiting,stomach emptying
vomiting,food regurgitation
vomiting,forceful emesis
vomiting,nausea with vomiting
wandering,aimless wandering
wandering,disoriented roaming
wandering,purposeless walking
wandering,confused wandering
wandering,nocturnal wandering
wandering,elopement behavior
wandering,roaming behavior
wandering,disoriented walking
warm leg,localized warmth leg
warm leg,leg heat sensation
warm leg,heated lower limb
warm leg,inflamed warm leg
warm leg,increased leg temperature
warm leg,hot feeling leg
warm leg,warm swollen leg
warm leg,leg warmth sensation
warmth,heat sensation
warmth,localized heat
warmth,skin warmth
warmth,increased temperature
warmth,heat feeling
warmth,inflamed warmth
warmth,tissue warmth
warmth,area warmth
watery diarrhea,loose watery stools
watery diarrhea,liquid stools
watery diarrhea,profuse diarrhea
watery diarrhea,acute watery stools
watery diarrhea,frequent liquid bowel movements
watery diarrhea,severe loose stools
watery diarrhea,secretory diarrhea
watery diarrhea,fluid bowel movements
watery eyes,excessive tearing
watery eyes,tearing eyes
watery eyes,eye watering
watery eyes,lacrimation
watery eyes,teary eyes
watery eyes,excessive lacrimation
watery eyes,constant tearing
watery eyes,ocular watering
weak arms,arm weakness
weak arms,reduced arm strength
weak arms,diminished arm power
weak arms,upper limb weakness
weak arms,arm muscle weakness
weak arms,decreased arm strength
weak arms,bilateral arm weakness
weak arms,arm fatigue weakness
weak grip,reduced grip strength
weak grip,poor hand grip
weak grip,diminished grip power
weak grip,grip weakness
weak grip,weak hand strength
weak grip,decreased grasp strength
weak grip,impaired grip
weak grip,low grip force
weak urine stream,poor urine flow
weak urine stream,decreased urine flow
weak urine stream,slow urine stream
weak urine stream,reduced urinary flow
weak urine stream,weak urinary flow
weak urine stream,diminished stream force
weak urine stream,low pressure stream
weak urine stream,dribbling stream
weakness,debility
weakness,lack of strength
weakness,muscle weakness
weakness,fatigue
weakness,diminished power
weakness,physical weakness
weakness,loss of strength
weakness,generalized weakness
weight gain,increased weight
weight gain,weight increase
weight gain,excess weight
weight gain,body mass increase
weight gain,unintended weight gain
weight gain,rapid weight gain
weight gain,abnormal weight gain
weight gain,added body weight
weight loss,weight reduction
weight loss,decreased body weight
weight loss,unintended weight loss
weight loss,body mass reduction
weight loss,significant weight drop
weight loss,rapid weight loss
weight loss,involuntary weight loss
weight loss,slimming
wheezing,whistling breath
wheezing,wheezy breathing
wheezing,high pitched breathing
wheezing,chest wheeze
wheezing,expiratory wheeze
wheezing,noisy respiration
wheezing,airway wheeze
wheezing,breathing whistle
white discharge,milky discharge
white discharge,whitish secretion
white discharge,pale discharge
white discharge,opaque discharge
white discharge,thick pale secretion
white discharge,abnormal white fluid
white discharge,light colored discharge
white discharge,creamy secretion
white tonsil patches,tonsillar exudate
white tonsil patches,white spots tonsils
white tonsil patches,tonsil coating
white tonsil patches,pus on tonsils
white tonsil patches,exudative tonsils
white tonsil patches,patchy tonsillar exudate
white tonsil patches,white plaques tonsils
white tonsil patches,coated tonsils
whooping sound,inspiratory whoop
whooping sound,high pitched whoop
whooping sound,paroxysmal whoop
whooping sound,whoop during cough
whooping sound,loud inspiratory gasp
whooping sound,pertussis whoop
whooping sound,gasping sound
whooping sound,characteristic whoop
widespread pain,generalized pain
widespread pain,diffuse pain
widespread pain,bodywide pain
widespread pain,global pain
widespread pain,systemic pain
widespread pain,multifocal pain
widespread pain,all over pain
widespread pain,generalized body ache
worse at night,nocturnal worsening
worse at night,nighttime aggravation
worse at night,symptoms worse nocturnally
worse at night,night exacerbation
worse at night,increased at night
worse at night,nighttime symptom flare
worse at night,aggravated nocturnally
worse at night,night symptom worsening
wound drainage,wound discharge
wound drainage,purulent wound discharge
wound drainage,serous drainage
wound drainage,wound exudate
wound drainage,draining wound
wound drainage,fluid from wound
wound drainage,wound seepage
wound drainage,infected wound drainage
yellow eyes,scleral icterus
yellow eyes,eye yellowing
yellow eyes,icteric sclera
yellow eyes,jaundiced eyes
yellow eyes,yellow sclera
yellow eyes,bilirubin stained eyes
yellow eyes,yellow tinted eyes
yellow eyes,ocular jaundice
yellow skin,skin jaundice
yellow skin,icteric skin
yellow skin,skin yellowing
yellow skin,jaundiced skin
yellow skin,bilirubin stained skin
yellow skin,yellow tinted skin
yellow skin,hepatic discoloration
yellow skin,generalized jaundice
